epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.935,0.79585,3.35944,1.38363,0.85473,0.78103,0.86951,0.73153,0.64374,1.10904,1.17569,0.000110807,0.000110807,0.000110807
2,500.324,0.67765,1.81711,1.25161,0.94665,0.90757,0.97697,0.84794,0.58621,0.72287,1.10174,0.000217415,0.000217415,0.000217415
3,727.104,0.64456,1.36927,1.21988,0.96381,0.95565,0.98827,0.85348,0.59492,0.57345,1.09231,0.000319627,0.000319627,0.000319627
4,946.385,0.62587,1.14079,1.19752,0.97216,0.96353,0.98984,0.8709,0.54876,0.51567,1.05108,0.00031322,0.00031322,0.00031322
5,1166.42,0.59715,0.99226,1.17692,0.98491,0.97955,0.99253,0.87528,0.533,0.46841,1.03338,0.000306626,0.000306626,0.000306626
6,1385.01,0.57718,0.89266,1.15852,0.97604,0.96545,0.9864,0.87857,0.52738,0.45536,1.01322,0.000300033,0.000300033,0.000300033
7,1602.04,0.56541,0.81876,1.15131,0.97314,0.98187,0.99255,0.89395,0.48562,0.40932,0.96505,0.00029344,0.00029344,0.00029344
8,1817.7,0.55451,0.75231,1.14117,0.98235,0.98278,0.99227,0.89805,0.48238,0.3877,0.9691,0.000286846,0.000286846,0.000286846
9,2033.35,0.54245,0.70808,1.13165,0.9827,0.98851,0.99287,0.89059,0.49888,0.38339,0.96899,0.000280253,0.000280253,0.000280253
10,2252.78,0.53208,0.66678,1.12441,0.99051,0.99396,0.99456,0.90093,0.47887,0.33658,0.96346,0.000273659,0.000273659,0.000273659
11,2475.54,0.53064,0.65084,1.12689,0.97955,0.99013,0.99386,0.90156,0.48346,0.35197,0.95726,0.000267066,0.000267066,0.000267066
12,2696.29,0.51071,0.60986,1.11042,0.99066,0.9924,0.99397,0.90197,0.47288,0.32462,0.94974,0.000260473,0.000260473,0.000260473
13,2915.04,0.51378,0.59323,1.10962,0.98861,0.99244,0.99463,0.90875,0.45577,0.31345,0.92431,0.000253879,0.000253879,0.000253879
14,3134.68,0.50297,0.57076,1.10358,0.99145,0.98971,0.99426,0.9101,0.46476,0.31431,0.93991,0.000247286,0.000247286,0.000247286
15,3353.17,0.499,0.55178,1.09985,0.98885,0.99321,0.99426,0.90739,0.46328,0.31041,0.93364,0.000240692,0.000240692,0.000240692
16,3572.32,0.50454,0.55023,1.10789,0.98912,0.99593,0.99458,0.91021,0.45584,0.30308,0.93318,0.000234099,0.000234099,0.000234099
17,3792.04,0.4936,0.51723,1.09739,0.98935,0.98762,0.99359,0.91101,0.45136,0.29083,0.93248,0.000227506,0.000227506,0.000227506
18,4011.71,0.48681,0.51894,1.09349,0.99132,0.99416,0.9943,0.91282,0.44797,0.28973,0.92332,0.000220912,0.000220912,0.000220912
19,4231.56,0.47983,0.50107,1.08953,0.99354,0.9933,0.99437,0.91702,0.43831,0.28034,0.90836,0.000214319,0.000214319,0.000214319
20,4450.89,0.48031,0.49404,1.08709,0.99277,0.99239,0.99449,0.91613,0.44524,0.27716,0.91105,0.000207725,0.000207725,0.000207725
21,4670.36,0.4734,0.47969,1.08526,0.99145,0.99666,0.99468,0.91645,0.43672,0.27111,0.90423,0.000201132,0.000201132,0.000201132
22,4890.85,0.47863,0.48399,1.08732,0.99141,0.99476,0.99453,0.91963,0.43144,0.27012,0.89852,0.000194539,0.000194539,0.000194539
23,5110.35,0.46332,0.46101,1.07606,0.99397,0.99719,0.99423,0.91882,0.42837,0.2641,0.89818,0.000187945,0.000187945,0.000187945
24,5329.65,0.46601,0.45866,1.07777,0.99316,0.99498,0.99425,0.91994,0.426,0.26287,0.89243,0.000181352,0.000181352,0.000181352
25,5550.25,0.46138,0.44556,1.07019,0.99137,0.99654,0.99361,0.91788,0.43344,0.26515,0.89886,0.000174758,0.000174758,0.000174758
26,5770.79,0.4614,0.44387,1.07645,0.99286,0.99565,0.99455,0.92129,0.43186,0.25782,0.89357,0.000168165,0.000168165,0.000168165
